Stimulus, ReactionTime, Response, Rating
House II,1798,House,1
House CC,1610,House,4
Tree IC,2170,Tree,2
House IC,1680,House,2
Tree II,1634,Tree,1
Tree CC,1623,Tree,4
House CI,1574,House,1
Tree CI,1428,Tree,1
