Stimulus, ReactionTime, Response, Rating
House IC,1900,House,1
Tree IC,1524,Tree,2
House CC,1970,House,5
House II,1689,House,1
Tree CI,4258,House,3
House CI,1604,House,2
Tree CC,1996,Tree,5
Tree II,1765,Tree,1
