Stimulus, ReactionTime, Response, Rating
House II,4321,House,1
House CC,4187,House,5
Tree IC,2670,Tree,2
House IC,2339,House,2
Tree II,2428,Tree,1
Tree CC,2697,Tree,5
House CI,1812,House,1
Tree CI,2472,Tree,1
