Stimulus, ReactionTime, Response, Rating
House II,2538,House,1
House CC,1276,House,5
Tree IC,1756,Tree,2
House IC,1578,House,2
Tree II,5360,Tree,1
Tree CC,1499,Tree,5
House CI,2479,House,1
Tree CI,2068,Tree,1
