Stimulus, ReactionTime, Response, Rating
House CI,2171,House,1
Tree CI,2570,Tree,1
House II,1771,House,1
House CC,1510,House,5
Tree IC,1882,Tree,3
House IC,1435,House,2
Tree II,2329,Tree,2
Tree CC,1295,Tree,5
