Stimulus, ReactionTime, Response, Rating
House II,1676,House,2
House CC,1174,House,5
Tree IC,1566,Tree,4
House IC,0,House,4
Tree II,1728,Tree,2
Tree CC,1709,Tree,5
House CI,0,House,4
Tree CI,1935,Tree,5
