Stimulus, ReactionTime, Response, Rating
House CI,2192,House,2
Tree CI,2232,House,1
House II,1871,House,1
House CC,2078,House,5
Tree IC,2217,Tree,2
House IC,2173,House,2
Tree II,1563,Tree,2
Tree CC,1297,Tree,5
