Stimulus, ReactionTime, Response, Rating
House CI,2811,House,2
Tree CI,2724,Tree,2
House II,3951,House,1
House CC,1910,House,5
Tree IC,2186,Tree,2
House IC,2208,House,2
Tree II,1433,House,1
Tree CC,1312,Tree,5
