Stimulus, ReactionTime, Response, Rating
House II,3554,House,1
House CC,1600,House,5
Tree IC,2427,Tree,2
House IC,2823,House,2
Tree II,3102,Tree,1
Tree CC,2196,Tree,5
House CI,2020,House,3
Tree CI,2567,Tree,2
